Company Name,Symbol,Sector,Industry,Exchange
,KRBL,Process Industries,Agricultural Commodities/Milling,NSE
,SUBEXLTD,Technology Services,Packaged Software,NSE
,PEL,Finance,Investment Managers,NSE
,HCG,Health Services,Hospital/Nursing Management,NSE
,SUNTV,Consumer Services,Broadcasting,NSE
,HGS,Commercial Services,Miscellaneous Commercial Services,NSE
,COFORGE,Technology Services,Information Technology Services,NSE
,ABCAPITAL,Finance,Multi-Line Insurance,NSE
,ANANDRATHI,Finance,Investment Managers,NSE
,ZYDUSWELL,Consumer Non-Durables,Food: Major Diversified,NSE
,NOCIL,Process Industries,Chemicals: Specialty,NSE
,IOLCP,Process Industries,Chemicals: Specialty,NSE
,KNRCON,Industrial Services,Engineering & Construction,NSE
,HGINFRA,Industrial Services,Engineering & Construction,NSE
,CAMLINFINE,Process Industries,Chemicals: Specialty,NSE
,RAYMOND,Process Industries,Textiles,NSE
,IIFL,Finance,Finance/Rental/Leasing,NSE
,UFLEX,Process Industries,Containers/Packaging,NSE
,VENKEYS,Process Industries,Agricultural Commodities/Milling,NSE
